Question,A,B,C,D,TRUE,Topic,Set,TrueProb,AnswerProb,IsCorrect,probs_1,probs_2,probs_3,probs_4,question_id,bin_wide,bin,Answer,Explanation,Explanation_with_prefix,Topic_number,bin_wide_number,question_index
Which of the following correctly describes the motion of a real object in free fall? Assume that the object experiences drag force proportional to speed and that it strikes the ground before reaching terminal sped.,It will fall with increasing speed and increasing acceleration.,It will fall with increasing speed and decreasing acceleration.,It will fall with decreasing speed and increasing acceleration.,It will fall with decreasing speed and decreasing acceleration.,B,high_school_physics,test,0.3367955469,0.460344932,0,0.03084118773,0.3367955469,0.1720183334,0.460344932,10484,"(0.4,0.6]",0.45,D," As the object falls, it will experience a drag force that increases with speed. This will cause the object to slow down, resulting in a decreasing speed. At the same time, the acceleration due to gravity will remain constant, resulting in a decreasing acceleration. This is because the drag force is counteracting the force of gravity, causing the object to fall at a decreasing rate. Eventually, the object will reach terminal speed and the drag force will equal the force of gravity, resulting in a constant speed and zero acceleration. However, since the object strikes the ground before reaching terminal speed, the speed and acceleration will continue to decrease until impact.","The answer is [D].  As the object falls, it will experience a drag force that increases with speed. This will cause the object to slow down, resulting in a decreasing speed. At the same time, the acceleration due to gravity will remain constant, resulting in a decreasing acceleration. This is because the drag force is counteracting the force of gravity, causing the object to fall at a decreasing rate. Eventually, the object will reach terminal speed and the drag force will equal the force of gravity, resulting in a constant speed and zero acceleration. However, since the object strikes the ground before reaching terminal speed, the speed and acceleration will continue to decrease until impact.",9,2,6
"A stone is thrown horizontally with an initial speed of 30 m/s from a bridge. Find the stone's total speed when it enters the water 4 seconds later, assuming that air resistance is negligible.",30 m/s,40 m/s,50 m/s,60 m/s,C,high_school_physics,test,0.223843422,0.5204515282,0,0.1884950597,0.5204515282,0.223843422,0.06720999007,8355,"(0.4,0.6]",0.55,B," 
    The horizontal component of the stone's velocity remains constant at 30 m/s throughout its motion. However, the vertical component of its velocity changes due to the acceleration of gravity. After 4 seconds, the stone will have fallen a distance of 4*9.8 = 39.2 meters. Using the formula v^2 = u^2 + 2as, where v is the final velocity, u is the initial velocity, a is the acceleration, and s is the distance, we can find the total speed of the stone when it enters the water. Plugging in the values, we get v^2 = (30)^2 + 2(-9.8)(39.2) = 900 - 768.8 = 131.2. Taking the square root, we get v = 11.45 m/s. Adding this to the horizontal component of 30 m/s, we get a total speed of approximately 41.45 m/s, which is closest to option [B] 40 m/s.","The answer is [B].  
    The horizontal component of the stone's velocity remains constant at 30 m/s throughout its motion. However, the vertical component of its velocity changes due to the acceleration of gravity. After 4 seconds, the stone will have fallen a distance of 4*9.8 = 39.2 meters. Using the formula v^2 = u^2 + 2as, where v is the final velocity, u is the initial velocity, a is the acceleration, and s is the distance, we can find the total speed of the stone when it enters the water. Plugging in the values, we get v^2 = (30)^2 + 2(-9.8)(39.2) = 900 - 768.8 = 131.2. Taking the square root, we get v = 11.45 m/s. Adding this to the horizontal component of 30 m/s, we get a total speed of approximately 41.45 m/s, which is closest to option [B] 40 m/s.",9,2,7
"A convex lens of focal length f = 0.2 m is used to examine a small coin lying on a table. During the examination, the lens is held a distance 0.3 m above the coin and is moved slowly to a distance of 0.1 m above the coin. During this process, what happens to the image of the coin?",The image continually increases in size.,The image continually decreases in size.,The image gets smaller at first and then bigger in size.,The image flips over.,D,high_school_physics,test,0.03822793882,0.4584913983,0,0.1881644719,0.315116191,0.4584913983,0.03822793882,2243,"(0.4,0.6]",0.45,C," As the lens is moved closer to the coin, the image formed by the lens will initially get smaller in size. This is because the lens is acting as a magnifying glass, and as it gets closer to the object, the magnification increases. However, once the lens is moved past the focal point (0.2 m), the image will start to get bigger in size. This is because the rays of light from the coin will now converge and form a real image on the other side of the lens. Therefore, the image will first get smaller and then bigger in size as the lens is moved from 0.3 m to 0.1 m above the coin. ","The answer is [C].  As the lens is moved closer to the coin, the image formed by the lens will initially get smaller in size. This is because the lens is acting as a magnifying glass, and as it gets closer to the object, the magnification increases. However, once the lens is moved past the focal point (0.2 m), the image will start to get bigger in size. This is because the rays of light from the coin will now converge and form a real image on the other side of the lens. Therefore, the image will first get smaller and then bigger in size as the lens is moved from 0.3 m to 0.1 m above the coin. ",9,2,8
"A ball of mass is attached to a string connected to the ceiling, forming a pendulum. When the string is raised to an angle of 50 degrees below the horizontal (the ceiling) and released, the ball swings back and forth with a period of 0.4 s. Which of the following changes to the pendulum would decrease the period of the pendulum?",Increasing the mass of the ball,Decreasing the length of the string,Decreasing the angle of the string from the horizontal when released,Decreasing the mass of the ball,B,high_school_physics,test,0.5215623097,0.5215623097,1,0.06949144066,0.5215623097,0.2925699516,0.116376298,1727,"(0.4,0.6]",0.55,B," The period of a pendulum is directly proportional to the square root of its length. Therefore, decreasing the length of the string will decrease the period of the pendulum. The other options, increasing the mass of the ball, decreasing the angle of the string, and decreasing the mass of the ball, will not affect the period of the pendulum.","The answer is [B].  The period of a pendulum is directly proportional to the square root of its length. Therefore, decreasing the length of the string will decrease the period of the pendulum. The other options, increasing the mass of the ball, decreasing the angle of the string, and decreasing the mass of the ball, will not affect the period of the pendulum.",9,2,9
A rock is dropped off a cliff and strikes the ground with an impact velocity of 30 m/s. How high was the cliff?,20 m,30 m,45 m,60 m,C,high_school_physics,test,0.4717447471,0.4717447471,1,0.06384370577,0.1192757691,0.4717447471,0.3451357781,11873,"(0.4,0.6]",0.45,C,"    We can use the equation for the final velocity of an object in free fall to solve this problem:

    v^2 = u^2 + 2as

    Where:
    v = final velocity (30 m/s)
    u = initial velocity (0 m/s)
    a = acceleration due to gravity (-9.8 m/s^2)
    s = distance (unknown)

    Plugging in the values, we get:

    30^2 = 0^2 + 2(-9.8)s

    900 = -19.6s

    s = 900/-19.6 = 45.92 m

    Therefore, the height of the cliff is approximately 45.92 m. Option [C] is the correct answer.","The answer is [C].     We can use the equation for the final velocity of an object in free fall to solve this problem:

    v^2 = u^2 + 2as

    Where:
    v = final velocity (30 m/s)
    u = initial velocity (0 m/s)
    a = acceleration due to gravity (-9.8 m/s^2)
    s = distance (unknown)

    Plugging in the values, we get:

    30^2 = 0^2 + 2(-9.8)s

    900 = -19.6s

    s = 900/-19.6 = 45.92 m

    Therefore, the height of the cliff is approximately 45.92 m. Option [C] is the correct answer.",9,2,10
"Two objects, a sphere and a block of the same mass, are released from rest at the top of an inclined plane. The sphere rolls down the inclined plane without slipping. The block slides down the plane without friction. Which object reaches the bottom of the ramp first?","The sphere, because it gains rotational kinetic energy, but the block does not","The sphere, because it gains mechanical energy due to the torque exerted on it, but the block does not","The block, because it does not lose mechanical energy due to friction, but the sphere does","The block, because it does not gain rotational kinetic energy, but the sphere does",D,high_school_physics,test,0.01345724665,0.6586171736,0,0.6586171736,0.1614010797,0.1665245,0.01345724665,473,"(0.6,0.8]",0.65,A," The sphere will reach the bottom of the ramp first because it gains rotational kinetic energy as it rolls down the ramp without slipping. This additional form of energy allows the sphere to move faster than the block, which only has translational kinetic energy. The block does not gain rotational kinetic energy because it does not have a circular shape and therefore cannot roll without slipping.","The answer is [A].  The sphere will reach the bottom of the ramp first because it gains rotational kinetic energy as it rolls down the ramp without slipping. This additional form of energy allows the sphere to move faster than the block, which only has translational kinetic energy. The block does not gain rotational kinetic energy because it does not have a circular shape and therefore cannot roll without slipping.",9,3,1
"A student pushes a puck across a table, moving it from position x = 0 to position x = 0.2 m. After he lets go, the puck continues to travel across the table, coming to rest at position x = 1.2 m. When the puck is at position x = 1.0 m, which of the following is a correct assertion about the net force on the puck?","The net force is in the negative direction, because the puck is moving in the positive direction but slowing down.","The net force is down, because the puck is near the Earth, where gravitational acceleration is 10 m/s^2 downward.","The net force is in the positive direction, because the student’s push caused the puck to speed up in the positive direction.","The net force is zero, because the student’s push in the positive direction must equal the force of friction in the negative direction.",A,high_school_physics,test,0.1988754987,0.6222264254,0,0.1988754987,0.06558219847,0.1133158774,0.6222264254,10505,"(0.6,0.8]",0.65,D," The net force on the puck is zero because the puck is moving at a constant velocity at position x = 1.0 m. This means that the forces acting on the puck are balanced, with the student's initial push in the positive direction being equal to the force of friction in the negative direction. This is known as Newton's First Law of Motion, which states that an object will remain at rest or in uniform motion in a straight line unless acted upon by an external force. Therefore, the net force on the puck at position x = 1.0 m is zero.","The answer is [D].  The net force on the puck is zero because the puck is moving at a constant velocity at position x = 1.0 m. This means that the forces acting on the puck are balanced, with the student's initial push in the positive direction being equal to the force of friction in the negative direction. This is known as Newton's First Law of Motion, which states that an object will remain at rest or in uniform motion in a straight line unless acted upon by an external force. Therefore, the net force on the puck at position x = 1.0 m is zero.",9,3,2
Which one of the following statements is true concerning the motion of an ideal projectile launched at an angle of 45° to the horizontal?,The acceleration vector points opposite to the velocity vector on the way up and in the same direction as the velocity vector on the way down.,The speed at the top of the trajectory is zero.,The object's total speed remains constant during the entire flight.,The vertical speed decreases on the way up and increases on the way down.,D,high_school_physics,test,0.6182226397,0.6182226397,1,0.2966264345,0.02674170016,0.05840922566,0.6182226397,2244,"(0.6,0.8]",0.65,D," When a projectile is launched at an angle of 45° to the horizontal, it follows a parabolic path. This means that the vertical component of its velocity decreases as it moves upwards, reaches zero at the highest point, and then increases as it moves downwards. This is because the only force acting on the projectile is gravity, which causes it to accelerate downwards. Therefore, the statement that the vertical speed decreases on the way up and increases on the way down is true for an ideal projectile launched at 45° to the horizontal.","The answer is [D].  When a projectile is launched at an angle of 45° to the horizontal, it follows a parabolic path. This means that the vertical component of its velocity decreases as it moves upwards, reaches zero at the highest point, and then increases as it moves downwards. This is because the only force acting on the projectile is gravity, which causes it to accelerate downwards. Therefore, the statement that the vertical speed decreases on the way up and increases on the way down is true for an ideal projectile launched at 45° to the horizontal.",9,3,3
"If L, M, and T denote the dimensions of length, mass, and time, respectively, what are the dimensions of impulse?",LM/T^3,LM/T^2,LM/T,L^2M/T^2,C,high_school_physics,test,0.01987155688,0.6086017644,0,0.3361018055,0.03542487322,0.01987155688,0.6086017644,8837,"(0.6,0.8]",0.65,D," Impulse is defined as the product of force and time, and force has dimensions of ML/T^2. Therefore, the dimensions of impulse are ML/T^2 * T = L^2M/T^2.","The answer is [D].  Impulse is defined as the product of force and time, and force has dimensions of ML/T^2. Therefore, the dimensions of impulse are ML/T^2 * T = L^2M/T^2.",9,3,4
At what angle to the horizontal should an ideal projectile be launched so that its horizontal displacement (the range) is equal to its maximum vertical displacement?,sin–1 (1/g),cos–1 (1/g),45°,tan–1 4,D,high_school_physics,test,0.09113823052,0.6629850366,0,0.1812500502,0.06462668272,0.6629850366,0.09113823052,9807,"(0.6,0.8]",0.65,C," 
    The maximum vertical displacement of a projectile occurs at the peak of its trajectory, when the vertical velocity is zero. This occurs when the projectile is at the highest point of its trajectory, which is also the point where the horizontal displacement is equal to the range. 
    At this point, the angle between the horizontal and the projectile's initial velocity is 45°, as the projectile is moving at an equal angle in both the horizontal and vertical directions. Therefore, the answer is [C] 45°.","The answer is [C].  
    The maximum vertical displacement of a projectile occurs at the peak of its trajectory, when the vertical velocity is zero. This occurs when the projectile is at the highest point of its trajectory, which is also the point where the horizontal displacement is equal to the range. 
    At this point, the angle between the horizontal and the projectile's initial velocity is 45°, as the projectile is moving at an equal angle in both the horizontal and vertical directions. Therefore, the answer is [C] 45°.",9,3,5
"If two non-zero vectors are added together, and the resultant vector is zero, what must be true of the two vectors?",They have equal magnitude and are pointed in the same direction.,They have equal magnitude and are pointed in opposite directions.,They have different magnitudes and are pointed in opposite directions.,It is not possible for the sum of two non-zero vectors to be zero.,B,high_school_physics,test,0.3003495677,0.6875070279,0,0.001704159832,0.3003495677,0.6875070279,0.01043924458,693,"(0.6,0.8]",0.65,C," In order for the resultant vector to be zero, the two vectors must cancel each other out. This can only happen if they have equal magnitude and are pointed in opposite directions. If they have different magnitudes, they will not cancel each other out and the resultant vector will not be zero. Option [D] is incorrect because it is possible for two non-zero vectors to have equal magnitudes and be pointed in opposite directions, resulting in a zero resultant vector. ","The answer is [C].  In order for the resultant vector to be zero, the two vectors must cancel each other out. This can only happen if they have equal magnitude and are pointed in opposite directions. If they have different magnitudes, they will not cancel each other out and the resultant vector will not be zero. Option [D] is incorrect because it is possible for two non-zero vectors to have equal magnitudes and be pointed in opposite directions, resulting in a zero resultant vector. ",9,3,6
"An electron (mass = m, charge = -E) is rotated with speed V upwards, in the plane of the page, into a region containing a uniform magnetic field B, that is directed into the plane of the page. Describe the electron's subsequent circular motion.",Clockwise rotation; radius of path = mv/(eB),Counterclockwise rotation; radius of path = mv/(eB),Clockwise rotation; radius of path = eB/(mv),Counterclockwise rotation; radius of path = eB/(mv),A,high_school_physics,test,0.2191333165,0.6145745474,0,0.2191333165,0.6145745474,0.02700252542,0.1392896107,11222,"(0.6,0.8]",0.65,B," The Lorentz force on an electron in a magnetic field is given by F = qvB, where q is the charge of the electron, v is its velocity, and B is the magnetic field. Since the electron has a negative charge, the force will be in the opposite direction of its velocity. This means that the electron will experience a force towards the center of the circle, causing it to rotate counterclockwise. The radius of the circular path can be found using the equation F = mv^2/r, where m is the mass of the electron. Solving for r, we get r = mv/(qB). Plugging in the values for q and B, we get r = mv/(eB). Therefore, the electron will rotate counterclockwise with a radius of mv/(eB).","The answer is [B].  The Lorentz force on an electron in a magnetic field is given by F = qvB, where q is the charge of the electron, v is its velocity, and B is the magnetic field. Since the electron has a negative charge, the force will be in the opposite direction of its velocity. This means that the electron will experience a force towards the center of the circle, causing it to rotate counterclockwise. The radius of the circular path can be found using the equation F = mv^2/r, where m is the mass of the electron. Solving for r, we get r = mv/(qB). Plugging in the values for q and B, we get r = mv/(eB). Therefore, the electron will rotate counterclockwise with a radius of mv/(eB).",9,3,7
"Two traveling waves of equal frequency, one of amplitude 4 cm and the other of amplitude 6 cm, superimpose in a single medium. Which of the following best describes the displacement, D, of the resultant wave?",2 cm ≤ D ≤ 10 cm,D = 5 cm,D = 10 cm,10 cm ≤ D ≤ 12 cm,A,high_school_physics,test,0.2176272599,0.7478173791,0,0.2176272599,0.0276682012,0.006887159821,0.7478173791,1863,"(0.6,0.8]",0.75,D," The resultant wave will have an amplitude equal to the sum of the amplitudes of the two traveling waves, which is 10 cm. Therefore, the displacement of the resultant wave, D, will be between 10 cm and 12 cm.","The answer is [D].  The resultant wave will have an amplitude equal to the sum of the amplitudes of the two traveling waves, which is 10 cm. Therefore, the displacement of the resultant wave, D, will be between 10 cm and 12 cm.",9,3,8
The Space Shuttle orbits 300 km above the Earth’s surface; the Earth’s radius is 6400 km. What is the acceleration due to Earth’s gravity experienced by the Space Shuttle?,4.9 m/s^2,8.9 m/s^2,9.8 m/s^2,10.8 m/s^2,B,high_school_physics,test,0.1940324131,0.6564031663,0,0.05646665139,0.1940324131,0.6564031663,0.09309776922,2586,"(0.6,0.8]",0.65,C," 
    The acceleration due to gravity, denoted by ""g"", is given by the formula g = G * M / r^2, where G is the gravitational constant (6.67 x 10^-11 m^3/kg*s^2), M is the mass of the Earth (5.97 x 10^24 kg), and r is the distance between the object and the center of the Earth. 
    In this problem, the Space Shuttle is 300 km above the Earth's surface, so the distance between the Space Shuttle and the center of the Earth is 6400 km + 300 km = 6700 km. Converting this to meters, we get r = 6.7 x 10^6 m. 
    Plugging in the values for G, M, and r, we get g = (6.67 x 10^-11 m^3/kg*s^2) * (5.97 x 10^24 kg) / (6.7 x 10^6 m)^2 = 9.8 m/s^2. 
    Therefore, the acceleration due to Earth's gravity experienced by the Space Shuttle is 9.8 m/s^2.","The answer is [C].  
    The acceleration due to gravity, denoted by ""g"", is given by the formula g = G * M / r^2, where G is the gravitational constant (6.67 x 10^-11 m^3/kg*s^2), M is the mass of the Earth (5.97 x 10^24 kg), and r is the distance between the object and the center of the Earth. 
    In this problem, the Space Shuttle is 300 km above the Earth's surface, so the distance between the Space Shuttle and the center of the Earth is 6400 km + 300 km = 6700 km. Converting this to meters, we get r = 6.7 x 10^6 m. 
    Plugging in the values for G, M, and r, we get g = (6.67 x 10^-11 m^3/kg*s^2) * (5.97 x 10^24 kg) / (6.7 x 10^6 m)^2 = 9.8 m/s^2. 
    Therefore, the acceleration due to Earth's gravity experienced by the Space Shuttle is 9.8 m/s^2.",9,3,9
"A horizontal spring-block oscillator is in motion when a second block of equal mass falls on top of the oscillating block. If the two blocks stick together, what effect will this have on the amplitude of the oscillations?",It will increase the amplitude.,It will decrease the amplitude.,It will have no effect.,It would depend on where the original block was in its cycle when the second block fell.,D,high_school_physics,test,0.06309699139,0.6372569175,0,0.2534833368,0.6372569175,0.04616275428,0.06309699139,5362,"(0.6,0.8]",0.65,B," When the two blocks stick together, the total mass of the system increases. This means that the system will have a larger inertia and will require more energy to oscillate. As a result, the amplitude of the oscillations will decrease. This can also be seen from the equation for the period of a spring-block oscillator, which is inversely proportional to the square root of the mass. Therefore, an increase in mass will result in a decrease in the period and amplitude of the oscillations.","The answer is [B].  When the two blocks stick together, the total mass of the system increases. This means that the system will have a larger inertia and will require more energy to oscillate. As a result, the amplitude of the oscillations will decrease. This can also be seen from the equation for the period of a spring-block oscillator, which is inversely proportional to the square root of the mass. Therefore, an increase in mass will result in a decrease in the period and amplitude of the oscillations.",9,3,10
"A sphere, a cube, and a cylinder, all of equal mass, are released from rest from the top of a short incline. The surface of the incline is extremely slick, so much so that the objects do not rotate when released, but rather slide with negligible friction. Which reaches the base of the incline first?",the sphere,the cube,the cylinder,All reach the base at the same time.,D,high_school_physics,test,0.9956112219,0.9956112219,1,0.001982992994,0.001221686543,0.001184098608,0.9956112219,9135,"(0.8,1]",0.95,D," 
    All three objects have the same mass and are released from the same height, so they will all have the same potential energy at the top of the incline. As they slide down the incline, this potential energy will be converted into kinetic energy. The rate at which an object's kinetic energy changes is determined by its mass and its velocity. Since all three objects have the same mass, they will all experience the same change in kinetic energy over the same distance. Therefore, they will all reach the base of the incline at the same time. Additionally, since there is negligible friction, there will be no external forces acting on the objects to affect their acceleration, further supporting the idea that they will all reach the base at the same time.","The answer is [D].  
    All three objects have the same mass and are released from the same height, so they will all have the same potential energy at the top of the incline. As they slide down the incline, this potential energy will be converted into kinetic energy. The rate at which an object's kinetic energy changes is determined by its mass and its velocity. Since all three objects have the same mass, they will all experience the same change in kinetic energy over the same distance. Therefore, they will all reach the base of the incline at the same time. Additionally, since there is negligible friction, there will be no external forces acting on the objects to affect their acceleration, further supporting the idea that they will all reach the base at the same time.",9,4,1
A sphere starts from rest atop a hill with a constant angle of inclination and is allowed to roll without slipping down the hill. What force provides the torque that causes the sphere to rotate?,Static friction,Kinetic friction,The normal force of the hill on the sphere,Gravity,A,high_school_physics,test,0.0431283346,0.8662554971,0,0.0431283346,0.02381772369,0.06679844463,0.8662554971,12801,"(0.8,1]",0.85,D," The force that provides the torque in this scenario is gravity. As the sphere rolls down the hill, gravity exerts a downward force on the sphere, causing it to accelerate and rotate. The normal force of the hill on the sphere and static friction do not provide any torque in this situation, as they act perpendicular to the direction of motion. Kinetic friction may provide a small amount of torque, but it is negligible compared to the torque caused by gravity.","The answer is [D].  The force that provides the torque in this scenario is gravity. As the sphere rolls down the hill, gravity exerts a downward force on the sphere, causing it to accelerate and rotate. The normal force of the hill on the sphere and static friction do not provide any torque in this situation, as they act perpendicular to the direction of motion. Kinetic friction may provide a small amount of torque, but it is negligible compared to the torque caused by gravity.",9,4,2
"A rigid, solid container of constant volume holds an ideal gas of volume v1 and temperature T1 and pressure P1. The temperature is increased in an isochoric process. Which of the following is NOT true?",The average speed of the molecules increases.,The pressure increases.,The kinetic energy of the system increases.,The volume increases.,D,high_school_physics,test,0.9692876582,0.9692876582,1,0.01518505148,0.01239367781,0.003133612489,0.9692876582,5367,"(0.8,1]",0.95,D," In an isochoric process, the volume remains constant. Therefore, the volume cannot increase. The other options are all true for an isochoric process. As the temperature increases, the average speed of the molecules increases, leading to an increase in pressure and kinetic energy.","The answer is [D].  In an isochoric process, the volume remains constant. Therefore, the volume cannot increase. The other options are all true for an isochoric process. As the temperature increases, the average speed of the molecules increases, leading to an increase in pressure and kinetic energy.",9,4,3
Which configuration of battery and resistors will create a circuit with the greatest current?,A high voltage battery with resistors arranged in series,A high voltage battery with resistors arranged in parallel,A low voltage battery with resistors arranged in series,A low voltage battery with resistors arranged in parallel,A,high_school_physics,test,0.157751196,0.8395735151,0,0.157751196,0.8395735151,0.001079657955,0.001595631021,2712,"(0.8,1]",0.85,B," When resistors are arranged in parallel, the total resistance of the circuit decreases, allowing for a greater current to flow. Additionally, a high voltage battery will provide a greater potential difference, further increasing the current. Therefore, option [B] is the correct answer.","The answer is [B].  When resistors are arranged in parallel, the total resistance of the circuit decreases, allowing for a greater current to flow. Additionally, a high voltage battery will provide a greater potential difference, further increasing the current. Therefore, option [B] is the correct answer.",9,4,4
"A rock drops onto a pond with a smooth surface. A few moments later, the wave produced by the rock’s impact arrives at the shore, touching the ankles of a wading child. Which of the following observations provides evidence that the portion of the wave hitting the child’s ankles carries less energy than the wave did when it was first created by the rock’s impact?",The wave is moving more slowly.,The wave pulse’s width has become greater.,The wave pulse’s width has become smaller.,The wave’s height has become smaller.,D,high_school_physics,test,0.840376877,0.840376877,1,0.06087672723,0.04667578718,0.05207060856,0.840376877,9501,"(0.8,1]",0.85,D," The wave's height becoming smaller indicates that the wave has lost energy. This is because the height of a wave is directly proportional to its energy. As the wave travels from the point of impact to the shore, it loses energy due to friction and other factors. This results in a decrease in the wave's height. The other options do not provide evidence of a decrease in energy. The wave's speed may decrease due to factors such as depth and wind, but this does not necessarily indicate a decrease in energy. The wave pulse's width may change due to factors such as interference, but this does not directly indicate a change in energy. ","The answer is [D].  The wave's height becoming smaller indicates that the wave has lost energy. This is because the height of a wave is directly proportional to its energy. As the wave travels from the point of impact to the shore, it loses energy due to friction and other factors. This results in a decrease in the wave's height. The other options do not provide evidence of a decrease in energy. The wave's speed may decrease due to factors such as depth and wind, but this does not necessarily indicate a decrease in energy. The wave pulse's width may change due to factors such as interference, but this does not directly indicate a change in energy. ",9,4,5
"A man stands on a platform scale in an elevator. The elevator moves upward, speeding up. What is the action-reaction force pair to the man’s weight?",The force of the elevator cable on the man,The force of the man on the scale,The force of the elevator cable on the elevator,The force of the man on the Earth,D,high_school_physics,test,0.0559021472,0.8087402829,0,0.09509275568,0.8087402829,0.0402648142,0.0559021472,9428,"(0.8,1]",0.85,B," The action force is the man's weight pushing down on the scale, and the reaction force is the scale pushing back up on the man with an equal and opposite force. This is known as Newton's Third Law of Motion. The other options are not action-reaction force pairs to the man's weight. The force of the elevator cable on the man is not equal and opposite to the man's weight, as the cable is pulling the man up while his weight is pushing down. The force of the elevator cable on the elevator is not equal and opposite to the man's weight, as the elevator is also being pulled up by the cable. The force of the man on the Earth is not an action-reaction force pair to the man's weight, as the Earth's gravitational force on the man is not equal and opposite to the man's weight. ","The answer is [B].  The action force is the man's weight pushing down on the scale, and the reaction force is the scale pushing back up on the man with an equal and opposite force. This is known as Newton's Third Law of Motion. The other options are not action-reaction force pairs to the man's weight. The force of the elevator cable on the man is not equal and opposite to the man's weight, as the cable is pulling the man up while his weight is pushing down. The force of the elevator cable on the elevator is not equal and opposite to the man's weight, as the elevator is also being pulled up by the cable. The force of the man on the Earth is not an action-reaction force pair to the man's weight, as the Earth's gravitational force on the man is not equal and opposite to the man's weight. ",9,4,6
How much current does a 60 W light bulb draw if it operates at a voltage of 120 V ?,0.25 A,0.5 A,2:00 AM,4:00 AM,B,high_school_physics,test,0.946142762,0.946142762,1,0.03555723692,0.946142762,0.01602690233,0.002273098789,4517,"(0.8,1]",0.95,B,"    To find the current, we can use the formula P = VI, where P is power, V is voltage, and I is current. We are given P = 60 W and V = 120 V. Plugging these values into the formula, we get:

    60 = 120 x I

    Solving for I, we get:

    I = 60/120 = 0.5 A

    Therefore, the current drawn by the 60 W light bulb is 0.5 A.","The answer is [B].     To find the current, we can use the formula P = VI, where P is power, V is voltage, and I is current. We are given P = 60 W and V = 120 V. Plugging these values into the formula, we get:

    60 = 120 x I

    Solving for I, we get:

    I = 60/120 = 0.5 A

    Therefore, the current drawn by the 60 W light bulb is 0.5 A.",9,4,7
"A moving 1.5-kg cart collides with and sticks to a 0.5-kg cart which was initially at rest. Immediately after the collision, the carts each have the same ______ as each other.",Velocity,Kinetic energy,Mass,Linear momentum,A,high_school_physics,test,0.8043469314,0.8043469314,1,0.8043469314,0.02506020031,0.0071798676,0.1634130007,5121,"(0.8,1]",0.85,A," In a perfectly inelastic collision, the two objects stick together and move with the same velocity after the collision. This is due to the conservation of momentum, which states that the total momentum of a system remains constant in the absence of external forces. In this case, the initial momentum of the 1.5-kg cart is equal to its final momentum, which is also the momentum of the combined system after the collision. Therefore, the two carts will have the same velocity after the collision. ","The answer is [A].  In a perfectly inelastic collision, the two objects stick together and move with the same velocity after the collision. This is due to the conservation of momentum, which states that the total momentum of a system remains constant in the absence of external forces. In this case, the initial momentum of the 1.5-kg cart is equal to its final momentum, which is also the momentum of the combined system after the collision. Therefore, the two carts will have the same velocity after the collision. ",9,4,8
Spring scales are used to measure the net force applied to an object; a sonic motion detector is used to measure the object’s resulting acceleration. A graph is constructed with the net force on the vertical axis and the acceleration on the horizontal axis. Which of the following quantities is directly measured using the slope of this graph?,Gravitational mass,Weight,Velocity,Inertial mass,D,high_school_physics,test,0.9658647573,0.9658647573,1,0.02456072852,0.007850080336,0.001724433802,0.9658647573,8620,"(0.8,1]",0.95,D," The slope of a force-acceleration graph represents the ratio of the net force applied to an object to its resulting acceleration. This ratio is defined as the inertial mass of the object, which is a measure of an object's resistance to changes in its motion. Therefore, the slope of the graph directly measures the inertial mass of the object. Gravitational mass and weight are related to an object's interaction with gravity, while velocity is a measure of an object's speed and direction of motion. These quantities are not directly measured by the slope of a force-acceleration graph. ","The answer is [D].  The slope of a force-acceleration graph represents the ratio of the net force applied to an object to its resulting acceleration. This ratio is defined as the inertial mass of the object, which is a measure of an object's resistance to changes in its motion. Therefore, the slope of the graph directly measures the inertial mass of the object. Gravitational mass and weight are related to an object's interaction with gravity, while velocity is a measure of an object's speed and direction of motion. These quantities are not directly measured by the slope of a force-acceleration graph. ",9,4,9
An object is placed 100 cm from a plane mirror. How far is the image from the object?,50 cm,100 cm,200 cm,300 cm,C,high_school_physics,test,0.01631607963,0.9335793032,0,0.04505013145,0.9335793032,0.01631607963,0.005054485677,9046,"(0.8,1]",0.95,B," According to the law of reflection, the image distance is equal to the object distance in a plane mirror. Therefore, the image will also be 100 cm away from the mirror.","The answer is [B].  According to the law of reflection, the image distance is equal to the object distance in a plane mirror. Therefore, the image will also be 100 cm away from the mirror.",9,4,10
